temperatura | Data: 2024-06-13 02:34:48am Estado:4.40,
temperatura | Data: 2024-06-13 02:34:48am Estado:3.62,
temperatura | Data: 2024-06-13 02:34:50am Estado:2.05,
temperatura | Data: 2024-06-13 02:34:52am Estado:1.27,
temperatura | Data: 2024-06-13 02:34:56am Estado:0.49,
temperatura | Data: 2024-06-13 02:35:02am Estado:-0.49,
temperatura | Data: 2024-06-13 02:35:08am Estado:0.49,
temperatura | Data: 2024-06-13 02:35:10am Estado:1.27,
temperatura | Data: 2024-06-13 02:35:11am Estado:2.05,
temperatura | Data: 2024-06-13 02:35:12am Estado:4.40,
temperatura | Data: 2024-06-13 02:35:14am Estado:5.96,
temperatura | Data: 2024-06-13 02:35:15am Estado:7.53,
temperatura | Data: 2024-06-13 02:35:16am Estado:9.09,
temperatura | Data: 2024-06-13 02:35:17am Estado:10.65,
temperatura | Data: 2024-06-13 02:35:19am Estado:12.22,
temperatura | Data: 2024-06-13 02:35:20am Estado:15.35,
temperatura | Data: 2024-06-13 02:35:21am Estado:16.13,
temperatura | Data: 2024-06-13 02:35:24am Estado:15.35,
temperatura | Data: 2024-06-13 02:35:26am Estado:14.57,
temperatura | Data: 2024-06-13 02:35:27am Estado:13.00,
temperatura | Data: 2024-06-13 02:35:28am Estado:12.22,
temperatura | Data: 2024-06-13 02:35:29am Estado:10.65,
temperatura | Data: 2024-06-13 02:35:31am Estado:9.87,
temperatura | Data: 2024-06-13 02:35:32am Estado:6.74,
temperatura | Data: 2024-06-13 02:35:33am Estado:5.96,
temperatura | Data: 2024-06-13 02:35:34am Estado:5.18,
temperatura | Data: 2024-06-13 02:35:35am Estado:4.40,
temperatura | Data: 2024-06-13 02:35:36am Estado:3.62,
temperatura | Data: 2024-06-13 02:35:38am Estado:2.05,
temperatura | Data: 2024-06-13 02:35:40am Estado:1.27,
temperatura | Data: 2024-06-13 02:35:44am Estado:0.49,
temperatura | Data: 2024-06-13 02:35:50am Estado:-0.49,
temperatura | Data: 2024-06-13 02:35:57am Estado:0.49,
temperatura | Data: 2024-06-13 02:35:58am Estado:1.27,
temperatura | Data: 2024-06-13 02:35:59am Estado:2.05,
temperatura | Data: 2024-06-13 02:36:00am Estado:3.62,
temperatura | Data: 2024-06-13 02:36:01am Estado:4.40,
temperatura | Data: 2024-06-13 02:36:03am Estado:7.53,
temperatura | Data: 2024-06-13 02:36:04am Estado:9.09,
temperatura | Data: 2024-06-13 02:36:05am Estado:10.65,
temperatura | Data: 2024-06-13 02:36:06am Estado:12.22,
temperatura | Data: 2024-06-13 02:36:07am Estado:13.78,
temperatura | Data: 2024-06-13 02:36:09am Estado:16.13,
temperatura | Data: 2024-06-13 02:36:12am Estado:15.35,
temperatura | Data: 2024-06-13 02:36:15am Estado:13.00,
temperatura | Data: 2024-06-13 02:36:16am Estado:12.22,
temperatura | Data: 2024-06-13 02:36:17am Estado:10.65,
temperatura | Data: 2024-06-13 02:36:18am Estado:9.87,
temperatura | Data: 2024-06-13 02:36:19am Estado:8.31,
temperatura | Data: 2024-06-13 02:36:20am Estado:6.74,
temperatura | Data: 2024-06-13 02:36:22am Estado:5.18,
temperatura | Data: 2024-06-13 02:36:23am Estado:4.40,
temperatura | Data: 2024-06-13 02:36:24am Estado:3.62,
temperatura | Data: 2024-06-13 02:36:25am Estado:2.83,
temperatura | Data: 2024-06-13 02:36:26am Estado:2.05,
temperatura | Data: 2024-06-13 02:36:28am Estado:1.27,
temperatura | Data: 2024-06-13 02:36:32am Estado:0.49,
temperatura | Data: 2024-06-13 02:36:38am Estado:-0.49,
temperatura | Data: 2024-06-13 02:36:44am Estado:0.49,
temperatura | Data: 2024-06-13 02:36:46am Estado:1.27,
temperatura | Data: 2024-06-13 02:36:47am Estado:2.05,
temperatura | Data: 2024-06-13 02:36:48am Estado:3.62,
temperatura | Data: 2024-06-13 02:36:49am Estado:4.40,
temperatura | Data: 2024-06-13 02:36:50am Estado:5.96,
temperatura | Data: 2024-06-13 02:36:52am Estado:9.09,
temperatura | Data: 2024-06-13 02:36:53am Estado:10.65,
temperatura | Data: 2024-06-13 02:36:54am Estado:12.22,
temperatura | Data: 2024-06-13 02:36:55am Estado:13.78,
temperatura | Data: 2024-06-13 02:36:56am Estado:15.35,
temperatura | Data: 2024-06-13 02:36:57am Estado:16.13,
temperatura | Data: 2024-06-13 02:37:00am Estado:15.35,
temperatura | Data: 2024-06-13 02:37:02am Estado:14.57,
temperatura | Data: 2024-06-13 02:37:03am Estado:13.00,
temperatura | Data: 2024-06-13 02:37:05am Estado:10.65,
temperatura | Data: 2024-06-13 02:37:06am Estado:9.87,
temperatura | Data: 2024-06-13 02:37:07am Estado:8.31,
temperatura | Data: 2024-06-13 02:37:08am Estado:6.74,
temperatura | Data: 2024-06-13 02:37:09am Estado:5.96,
temperatura | Data: 2024-06-13 02:37:11am Estado:4.40,
temperatura | Data: 2024-06-13 02:37:12am Estado:3.62,
temperatura | Data: 2024-06-13 02:37:13am Estado:2.83,
temperatura | Data: 2024-06-13 02:37:14am Estado:2.05,
temperatura | Data: 2024-06-13 02:37:17am Estado:1.27,
temperatura | Data: 2024-06-13 02:37:20am Estado:0.49,
temperatura | Data: 2024-06-13 02:37:26am Estado:-0.49,
temperatura | Data: 2024-06-13 02:37:32am Estado:0.49,
temperatura | Data: 2024-06-13 02:37:34am Estado:1.27,
temperatura | Data: 2024-06-13 02:37:36am Estado:3.62,
temperatura | Data: 2024-06-13 02:37:37am Estado:4.40,
temperatura | Data: 2024-06-13 02:37:38am Estado:5.96,
temperatura | Data: 2024-06-13 02:37:39am Estado:7.53,
temperatura | Data: 2024-06-13 02:37:40am Estado:9.09,
temperatura | Data: 2024-06-13 02:37:42am Estado:12.22,
temperatura | Data: 2024-06-13 02:37:43am Estado:13.78,
temperatura | Data: 2024-06-13 02:37:44am Estado:15.35,
temperatura | Data: 2024-06-13 02:37:45am Estado:16.13,
temperatura | Data: 2024-06-13 02:37:48am Estado:15.35,
temperatura | Data: 2024-06-13 02:37:50am Estado:14.57,
temperatura | Data: 2024-06-13 02:37:51am Estado:13.00,
temperatura | Data: 2024-06-13 02:37:52am Estado:12.22,
temperatura | Data: 2024-06-13 02:37:53am Estado:10.65,
